ko	map	pathway
K00002	map00930	Caprolactam degradation
K00003	map00300	Lysine biosynthesis
K00005	map00561	Glycerolipid metabolism
K00008	map00051	Fructose and mannose metabolism
K00012	map00520	Amino sugar and nucleotide sugar metabolism
K00014	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K00016	map00640	Propanoate metabolism
K00018	map00680	Glyoxylate and dicarboxylate metabolism
K00024	map00720	Citrate cycle (TCA cycle)
K00027	map02020	Two-component system
K00029	map00710	Pyruvate metabolism
K00030	map00020	Citrate cycle (TCA cycle)
K00031	map04146	Citrate cycle (TCA cycle)
K00033	map00480	Glutathione metabolism
K00036	map00480	Glutathione metabolism
K00043	map00650	Butanoate metabolism
K00046	Unknown	Unknown
K00048	map00630	Glyoxylate and dicarboxylate metabolism
K00052	map00290	Valine, leucine and isoleucine biosynthesis
K00053	map00770	Pantothenate and CoA biosynthesis
K00054	map00900	Terpenoid backbone biosynthesis
K00057	map00564	Glycerophospholipid metabolism
K00058	map00680	Glycine serine and threonine metabolism
K00059	map01040	Biosynthesis of unsaturated fatty acids
K00065	map00040	Pentose and glucuronate interconversions
K00074	map00650	Butanoate metabolism
K00075	map00550	Peptidoglycan biosynthesis
K00077	map00770	Pantothenate and CoA biosynthesis
K00079	map00590	Arachidonic acid metabolism
K00088	map00983	Drug metabolism - other enzymes
K00099	map00900	Terpenoid backbone biosynthesis
K00100	map00650	Butanoate metabolism
K00104	map00630	Glyoxylate and dicarboxylate metabolism
K00105	map00564	Glycerophospholipid metabolism
K00111	map00564	Glycerophospholipid metabolism
K00112	map00564	Glycerophospholipid metabolism
K00113	map00564	Glycerophospholipid metabolism
K00118	Unknown	Unknown
K00123	map00680	Methanoate metabolism
K00128	map00903	Limonene and pinene degradation
K00130	map00260	Glycine, serine and threonine metabolism
K00131	map00010	Glycolysis / Gluconeogenesis
K00133	map00300	Lysine biosynthesis
K00134	map05010	Glycolysis / Gluconeogenesis
K00145	map00330	Arginine and proline metabolism
K00147	map00330	Arginine and proline metabolism
K00158	map00620	Pyruvate metabolism
K00161	map00650	Butanoate metabolism
K00162	map00650	Butanoate metabolism
K00174	map00720	Citrate cycle (TCA cycle)
K00175	map00720	Citrate cycle (TCA cycle)
K00176	map00720	Carbon fixation pathways in prokaryotes
K00177	map00720	Citrate cycle (TCA cycle)
K00208	map00061	Fatty acid biosynthesis
K00215	map00300	Lysine biosynthesis
K00226	map00240	Pyrimidine metabolism
K00239	map00720	Citrate cycle (TCA cycle)
K00240	map00720	Citrate cycle (TCA cycle)
K00241	map00720	Citrate cycle (TCA cycle)
K00243	Unknown	Unknown
K00244	map02020	Two-component system
K00248	map00650	Butanoate metabolism
K00257	map00626	Naphthalene degradation
K00260	map00910	Nitrogen metabolism
K00262	map00910	Nitrogen metabolism
K00266	map00910	Nitrogen metabolism
K00278	map00760	Nicotinate and nicotinamide metabolism
K00282	map00260	Glycine, serine and threonine metabolism
K00283	map00260	Glycine, serine and threonine metabolism
K00284	map00910	Nitrogen metabolism
K00286	map00330	Arginine and proline metabolism
K00287	map00790	Folate biosynthesis
K00290	map00310	Lysine degradation
K00297	map00720	One carbon pool by folate
K00302	map00260	Glycine, serine and threonine metabolism
K00313	Unknown	Unknown
K00330	map00190	Oxidative phosphorylation
K00331	map00190	Oxidative phosphorylation
K00335	map00190	Oxidative phosphorylation
K00336	map00190	Oxidative phosphorylation
K00337	map00190	Oxidative phosphorylation
K00338	map00190	Oxidative phosphorylation
K00341	map00190	Oxidative phosphorylation
K00342	map00190	Oxidative phosphorylation
K00343	map00190	Oxidative phosphorylation
K00346	Unknown	Unknown
K00347	Unknown	Unknown
K00348	Unknown	Unknown
K00349	Unknown	Unknown
K00350	Unknown	Unknown
K00351	Unknown	Unknown
K00356	map00190	Oxidative phosphorylation
K00358	Unknown	Unknown
K00359	Unknown	Unknown
K00364	map00230	Purine metabolism
K00375	Unknown	Unknown
K00378	Unknown	Unknown
K00382	map00620	Pyruvate metabolism
K00384	map00450	Selenocompound metabolism
K00425	map00190	Oxidative phosphorylation
K00426	map00190	Oxidative phosphorylation
K00432	map00590	Arachidonic acid metabolism
K00459	map00910	Nitrogen metabolism
K00483	map00350	Tyrosine metabolism
K00525	map00240	Pyrimidine metabolism
K00526	map00240	Pyrimidine metabolism
K00527	map00240	Pyrimidine metabolism
K00528	Unknown	Unknown
K00532	map00680	Unknown
K00537	Unknown	Unknown
K00540	Unknown	Unknown
K00549	map00450	Selenocompound metabolism
K00554	Unknown	Unknown
K00558	map00270	Cysteine and methionine metabolism
K00560	map00670	One carbon pool by folate
K00561	Unknown	Unknown
K00564	Unknown	Unknown
K00566	map04122	Sulfur relay system
K00567	Unknown	Unknown
K00568	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
K00571	Unknown	Unknown
K00574	Unknown	Unknown
K00575	map02030	Bacterial chemotaxis
K00600	map00680	Glycine serine and threonine metabolism
